fault,design,N,window,success_count,batch_status,write_p50_ms,finalization_latency_ms
F2,B,2,0,1,slots_created,1304.1,
F2,B,2,1,1,slots_created,1021.3,
F2,B,2,2,1,slots_created,1100.3,
F2,B,2,3,2,slots_created,1133.6,
F2,B,2,4,2,slots_created,1115.5,
F2,B,2,5,2,slots_created,1030.6,
F2,B,2,6,1,slots_created,1158.8,
F2,B,2,7,1,slots_created,1133.8,
F2,B,2,8,1,slots_created,1074.6,
F2,B,2,9,1,slots_created,1088.3,
F2,B,4,0,2,slots_created,1303.8,
F2,B,4,1,3,slots_created,1030.0,
F2,B,4,2,3,slots_created,1105.9,
F2,B,4,3,2,slots_created,1028.6,
F2,B,4,4,0,slots_created,,
F2,B,4,5,2,slots_created,980.7,
F2,B,4,6,2,slots_created,1042.6,
F2,B,4,7,4,slots_created,1097.7,
F2,B,4,8,4,slots_created,1076.2,
F2,B,4,9,4,slots_created,1105.0,
F2,B,8,0,5,slots_created,1038.4,
F2,B,8,1,4,slots_created,1091.9,
F2,B,8,2,4,slots_created,1133.4,
F2,B,8,3,5,slots_created,1048.8,
F2,B,8,4,4,slots_created,1073.4,
F2,B,8,5,4,slots_created,1059.3,
F2,B,8,6,5,slots_created,1082.9,
F2,B,8,7,8,slots_created,1073.7,
F2,B,8,8,6,slots_created,1084.6,
F2,B,8,9,3,slots_created,1051.1,
F2,B,16,0,11,slots_created,1095.9,
F2,B,16,1,9,slots_created,1017.0,
F2,B,16,2,7,slots_created,1072.6,
F2,B,16,3,9,slots_created,1045.3,
F2,B,16,4,8,slots_created,1088.6,
F2,B,16,5,8,slots_created,1030.9,
F2,B,16,6,10,slots_created,1110.2,
F2,B,16,7,9,slots_created,1078.4,
F2,B,16,8,11,slots_created,1081.4,
F2,B,16,9,6,slots_created,1071.9,
F2,B,32,0,14,slots_created,1071.3,
F2,B,32,1,20,slots_created,1076.9,
F2,B,32,2,13,slots_created,1061.8,
F2,B,32,3,15,slots_created,1056.9,
F2,B,32,4,18,slots_created,1073.2,
F2,B,32,5,15,slots_created,981.9,
F2,B,32,6,16,slots_created,1051.4,
F2,B,32,7,12,slots_created,1051.8,
F2,B,32,8,9,slots_created,1109.5,
F2,B,32,9,16,slots_created,1027.4,
F3,A,2,0,1,invalid,1206.5,519.6
F3,A,2,2,2,invalid,1275.5,590.0
F3,A,2,3,0,invalid,,532.5
F3,A,2,6,1,invalid,1225.6,541.1
F3,A,2,8,1,expired,1184.2,1125.5
F3,A,2,9,0,invalid,,529.9
